product_id,lot_id,sku,product_name,category,barcode_ean13,location_id,location_name,supplier_id,use_by_or_best_before,batch_received_date,expiry_date,opening_stock_qty,lot_qty,reorder_level_qty,unit_cost,unit_price,avg_daily_sales,safety_stock,case_size,max_stock
P000033,L0000001,SKU-00033,Premium Milk 1L,Dairy,6.52105E+12,LOC001,London - High St,2010,Use By,10/16/2025,10/25/2025,373,264,20,2.24,3.12,2.84,9,16,373
P000020,L0000002,SKU-00020,Classic Tomatoes,Produce,7.47995E+12,LOC003,Birmingham - Central,2009,Use By,10/18/2025,10/22/2025,244,19,56,1.45,1.91,1.5,5,8,244
P000033,L0000003,SKU-00033,Premium Milk 1L,Dairy,6.52105E+12,LOC001,London - High St,2010,Use By,10/15/2025,10/26/2025,279,228,20,2.24,3.12,4.86,15,12,279
P000021,L0000004,SKU-00021,Family Spinach,Produce,1.06728E+12,LOC003,Birmingham - Central,2010,Use By,10/13/2025,10/21/2025,90,12,10,1.61,2.01,3.88,12,10,90
P000002,L0000005,SKU-00002,Classic Mineral Water 1.5L,Beverages,2.58532E+12,LOC002,Manchester - City,2003,Best Before,10/28/2025,1/19/2026,313,260,57,2.07,2.99,1.78,6,8,313
P000015,L0000006,SKU-00015,Organic Brown Bread,Bakery,1.95159E+12,LOC001,London - High St,2004,Use By,10/19/2025,10/19/2025,276,94,13,0.52,0.65,1.75,6,16,276
P000055,L0000007,SKU-00055,Family Chocolate Bar 50g,Snacks,7.37605E+12,LOC001,London - High St,2008,Best Before,7/25/2026,8/10/2026,115,100,40,2.31,3.11,0.33,1,6,120
P000033,L0000008,SKU-00033,Premium Milk 1L,Dairy,6.52105E+12,LOC002,Manchester - City,2010,Use By,10/16/2025,10/22/2025,253,81,20,2.24,3.12,4.47,14,10,253
P000040,L0000009,SKU-00040,Budget Cola 330ml,Beverages,1.91765E+12,LOC001,London - High St,2005,Best Before,2/1/2026,3/5/2026,177,27,27,4.17,5.3,1.33,4,12,177
P000040,L0000010,SKU-00040,Budget Cola 330ml,Beverages,1.91765E+12,LOC003,Birmingham - Central,2005,Best Before,4/15/2026,5/19/2026,253,96,27,4.17,5.3,1.61,5,20,253
P000013,L0000011,SKU-00013,Select Sweetcorn 1kg,Frozen,8.82582E+12,LOC002,Manchester - City,2002,Best Before,9/8/2025,10/18/2025,258,128,66,5.53,7.22,1.81,6,24,258
P000017,L0000012,SKU-00017,Budget Dish Soap 500ml,Household,9.10576E+12,LOC003,Birmingham - Central,2006,Best Before,7/15/2026,10/7/2026,331,185,19,3,3.93,0.05,1,20,331
P000025,L0000013,SKU-00025,Everyday Cooking Oil 1L,Pantry,8.16671E+12,LOC001,London - High St,2002,Best Before,11/4/2025,1/8/2026,227,79,50,0.87,1.01,1.71,6,12,227
P000010,L0000014,SKU-00010,Classic Pork Chops 400g,Meat,8.56503E+12,LOC002,Manchester - City,2011,Use By,10/18/2025,10/20/2025,92,5,40,4.73,6.71,1.38,5,12,120
P000053,L0000015,SKU-00053,Classic AA Batteries 4pk,GM,1.67651E+12,LOC001,London - High St,2006,Best Before,2/24/2026,3/20/2026,146,11,45,5.21,6.29,0.27,1,6,146
P000037,L0000016,SKU-00037,Everyday Chicken Breast 500g,Meat,7.48826E+12,LOC001,London - High St,2002,Use By,10/18/2025,10/20/2025,91,51,43,7.94,10.49,2.34,8,16,129
P000050,L0000017,SKU-00050,Organic Ice Cream 500ml,Frozen,9.62818E+12,LOC002,Manchester - City,2003,Best Before,8/24/2025,10/18/2025,273,236,55,4.1,5.2,0.46,2,16,273
P000016,L0000018,SKU-00016,Local Toothpaste 100ml,PersonalCare,4.97564E+12,LOC002,Manchester - City,2005,Best Before,9/5/2026,10/3/2026,200,50,13,3.54,4.56,0.17,1,16,200
P000034,L0000019,SKU-00034,Family Rice 1kg,Pantry,3.43281E+12,LOC002,Manchester - City,2011,Best Before,12/4/2025,2/2/2026,233,13,35,6.18,7.42,0.44,2,24,233
P000058,L0000020,SKU-00058,Classic Frozen Pizza,Frozen,4.11523E+12,LOC002,Manchester - City,2011,Best Before,12/28/2025,1/24/2026,234,212,71,2.44,2.84,1.68,6,16,234
P000047,L0000021,SKU-00047,Premium Cooking Oil 1L,Pantry,4.62888E+12,LOC003,Birmingham - Central,2012,Best Before,2/3/2026,3/21/2026,351,160,34,1.29,1.56,1.77,6,20,351
P000048,L0000022,SKU-00048,Family White Bread,Bakery,3.87055E+12,LOC002,Manchester - City,2001,Use By,10/18/2025,10/20/2025,316,127,14,2.62,3.67,1.91,6,16,316
P000026,L0000023,SKU-00026,Family Potato Chips 150g,Snacks,2.33303E+12,LOC002,Manchester - City,2003,Best Before,12/13/2025,3/5/2026,207,141,18,1.6,2.26,0.81,3,6,207
P000050,L0000024,SKU-00050,Organic Ice Cream 500ml,Frozen,9.62818E+12,LOC002,Manchester - City,2003,Best Before,1/31/2026,4/10/2026,228,108,55,4.1,5.2,1.14,4,10,228
P000036,L0000025,SKU-00036,Family Toothpaste 100ml,PersonalCare,2.9572E+12,LOC002,Manchester - City,2001,Best Before,7/30/2025,10/25/2025,329,281,14,9.66,11.69,0.49,2,16,329
P000059,L0000026,SKU-00059,Everyday Apples,Produce,1.48666E+11,LOC003,Birmingham - Central,2012,Use By,10/18/2025,10/21/2025,177,138,68,1.21,1.41,5.75,18,6,204
P000004,L0000027,SKU-00004,Organic Muffins 4pk,Bakery,4.5874E+12,LOC002,Manchester - City,2005,Use By,10/19/2025,10/20/2025,335,131,12,2.2,2.65,1.06,4,16,335
P000058,L0000028,SKU-00058,Classic Frozen Pizza,Frozen,4.11523E+12,LOC001,London - High St,2011,Best Before,4/28/2026,5/14/2026,276,238,71,2.44,2.84,1.33,4,12,276
P000006,L0000029,SKU-00006,Organic Laundry Detergent 1L,Household,7.69504E+12,LOC003,Birmingham - Central,2007,Best Before,11/12/2026,2/5/2027,84,42,62,6.36,8.48,0.25,1,16,186
P000013,L0000030,SKU-00013,Select Sweetcorn 1kg,Frozen,8.82582E+12,LOC002,Manchester - City,2002,Best Before,12/23/2025,1/27/2026,53,29,66,5.53,7.22,0.31,1,16,198
P000011,L0000031,SKU-00011,Everyday Frozen Pizza,Frozen,6.84247E+12,LOC002,Manchester - City,2012,Best Before,4/6/2026,6/28/2026,355,248,16,3.14,4.15,0.62,2,6,355
P000014,L0000032,SKU-00014,Select Spinach,Produce,3.54608E+12,LOC001,London - High St,2003,Use By,10/19/2025,10/24/2025,129,51,54,1.82,2.42,5.54,17,24,162
P000047,L0000033,SKU-00047,Premium Cooking Oil 1L,Pantry,4.62888E+12,LOC003,Birmingham - Central,2012,Best Before,3/2/2026,4/18/2026,34,10,34,1.29,1.56,0.35,2,24,102
P000006,L0000034,SKU-00006,Organic Laundry Detergent 1L,Household,7.69504E+12,LOC002,Manchester - City,2007,Best Before,1/25/2027,3/5/2027,362,118,62,6.36,8.48,0.08,1,12,362
P000032,L0000035,SKU-00032,Budget Chicken Breast 500g,Meat,6.00217E+12,LOC002,Manchester - City,2009,Use By,10/19/2025,10/22/2025,373,34,72,5.33,7.57,2.8,9,24,373
P000040,L0000036,SKU-00040,Budget Cola 330ml,Beverages,1.91765E+12,LOC003,Birmingham - Central,2005,Best Before,11/13/2025,12/5/2025,91,18,27,4.17,5.3,3.26,10,10,91
